名前,所属,キーワード,メッセージ,HP,Photo_name
安田 仁奈,東京大学大学院農学生命科学研究科生圏システム学専攻,サンゴ礁、遺伝的多様性、海洋保護区、ワンオペ育児、地方大学とキャリア形成、オニヒトデ、初期生態,"一才児のワンオペ育児をしながら研究、教育、社会貢献などに携わっています。もともと野外調査の多い研究内容だったため、今も試行錯誤をしながらやっています。地方大学にいた時間も長く宮崎に愛着が深いです。歌が好きです。気楽にお話をできたらと思います。
",,安田仁奈.JPG
深澤 遊,東北大学,菌類・枯死木・生物間相互作用・森林・生物地理・微生物の知能,僕も自由集会のあとの飲み会でいろんな先生に話を聞きに行きました。お気軽にどうぞ。,https://sites.google.com/view/yu-fukasawas-website,深澤遊.png
中濱 直之,兵庫県立大学 自然・環境科学研究所 講師、兵庫県立人と自然の博物館 研究員,保全遺伝学、保全生態学、生物多様性保全、昆虫、植物、絶滅危惧種、群集生態学、ゲノム、次世代シーケンサー、系統地理学、博物館,遺伝解析やフィールドワークにより生物多様性保全に貢献する研究を実施しています。研究や進路、自己実現などなど、悩みも多いかと思います。多少なりともお役に立てればと思いますので、どうぞお気軽にご連絡ください。,,中濱写真.jpg
小林 朋道,公立鳥取環境大学,動物行動学、大学が求めている教員の特性,お役に立つかどうかわかりませんが、私の経験からお答えします。,,小林朋道.JPG
藤井 一至,森林総研,植物土壌間相互作用、土壌微生物、根圏、熱帯林、ツンドラ,土について研究したい人、研究の独自性の出し方に悩んでいる人にアドバイスできればと思います。学振や創発の応募の悩み相談も可能です。私自身は研究と将棋の両立に悩んでいます。一緒に悩みましょう。,,藤井一至.jpg
土居 秀幸,京都大学大学院 情報学研究科,生物圏情報学、群集生態学、気候変動、環境DNA,海外での研究などを経て、データ解析からフィールドまで生態学・生物学・農学に関連する様々な命題にアプローチしようと試みています。お気軽にお越しください。みなさんとお話しできるのを楽しみにしております。,https://ecologyweb.jimdofree.com/,土居秀幸.JPG
小林 真,北海道大学,"植物生態学、土の中、環境変動、北方林、ツンドラ、撹乱、野外操作実験、大学
研究林","幸か不幸か人のあまり行かない辺境地（寒いところ）での研究をしてきました。
海外の研究者と友人になるのが得意です。
上述のキーワードや、海外に出てみたいけど悩んでいる方、その他、何でも聞い
てみたいことがあればお気軽にお越しください。",,小林真.jpg
深見 理,スタンフォード大,群集生態、進化生態、生態系機能、植物、鳥、昆虫、菌類、細菌、送粉、伝統知、留学、海外就職,みなさんの研究の内容や研究生活での悩みや迷いや夢など、なんでも話せるとうれしいです。留学や海外就職についても話し相手になれると思います。,,深見理.jpg
林 亮太,,会社員、建設コンサルタント、フィールドワーク、自然史、分類学、本草学、フジツボ、ウミガメ、クジラ、ヒシバッタ,民間企業の会社員ですが、奇跡的に学生時代から続くテーマで研究を続けることができています。まったく再現性のない話しかできませんが、それでもよければお声がけください。,https://coronuloidea.webnode.jp/,林亮太.jpg
村山 美穂,京都大学,絶滅危惧種、哺乳類、鳥類、遺伝的多様性、機能遺伝子、生息域外保全,絶滅危惧種のDNAや細胞を、飼育施設と連携して保存し、解析した結果を保全に役立てる研究をしています。またガーナの留学生の縁で、家畜飼育によって環境保全を目指すNGOを立ち上げるなど、野生動物との共生のためにできることを探しています。大学院生の時には、今の研究は予想できませんでしたが、一歩ずつ進むうちに世界が広がってきたように思います。,,村山写真.jpg
梁 Masahiro Ryo,"Professor of Environmental Data Science, 
    Brandenburg University of Technology Cottbus–Senftenberg &
Group Leader of ""Artificial Intelligence for Smart Agriculture"" Unit, 
    Leibniz-Centre for Agricultural Landscape Research (ZALF)",ドイツ＆スイスでの博士課程・ポスドク・教授キャリアに関して、人工知能、機械学習、データ解析、生物多様性、農業、持続可能性、全地球的変化,2015年に日本の大学で博士課程を取り、そこからスイス・ドイツでポスドクをし、2020年にはドイツの大学で教授兼ライプニッツ農地景観研究所で人工知能チームを率いています。西ヨーロッパでの研究生活・キャリアに興味がある方には具体的に色々お話できると思います。,,梁 Masahiro Ryo.jpg
佐賀 達矢,"神戸大学大学院人間発達環境学研究科
人間環境学専攻　自然環境論",高校教諭、総合的な学習、科学部、行動生態学、環境教育、昆虫食,"私は、修士課程の後すぐに博士課程に進む自信も経済的な余裕もありませんでした。悩んだ末、高校理科教員として4年間働いた後で博士課程に進みました。博士号取得後にも高校理科教員を5年間務めました。高校理科、科学研究指導、環境教育に興味がある方へは一例ですがお話できますが、どなたでも歓迎です。
",,佐賀達矢.jpg
桜井 良　,立命館大,野生動物管理、ヒューマンディメンション、環境教育の評価、社会心理学、社会調査,"学生/院生、ポスドクの皆さん。こんにちは。研究生活をどのようにお過ごしでしょうか。
私自身の学生生活やポスドクの日々はとても充実していましたが、
定職に就けるのかなど、将来への悩み・心配事も多かったです。
未来を切り開く皆さんにとって、少しでも何かお役に立てるようなお話しができれば嬉しいです。",,桜井良.jpg
松崎 慎一郎,,陸水学、長期観測研究、生態系管理（湖沼や流域）、農業と環境保全、生物と環境の相互作用、魚類生態、チームサイエンス、国際貢献、在外研究（子連れ）,次の一歩を踏み出すための手がかりを一緒に探していければと思います。誰に聞くべきか迷うこともまずはご相談を（いい人紹介します）。,https://freshwaterconservation.weebly.com/,松崎慎一郎.JPG
太田 民久,富山大学,森林植生と物質循環、河川、底生無脊椎動物、同位体分析、有機物分析,"まだまだ人に偉そうなことを言える立場ではありませんが、楽しくお話できれば嬉しいです。
学生やポスドク時代にどのようなことを考えていたか、自分なりの成功(失敗)体験など共有できればと思います。",,太田民久.JPG
